area,methods,path,handler_module,handler_name,source_file,source_line,template,auth_required,js_callers
back_office,GET,/api/back-office/limits/sets/{set_id}/limits,web.routes.limits,get_limit_set_detail,web/routes/limits.py,309,_partials/limits_set_detail.html,session,0
back_office,GET,/api/saa/asset-classes,web.routes.saa_section,saa_asset_classes_modal,web/routes/saa_section.py,706,_partials/saa_asset_classes_modal.html,session,1
back_office,POST,/api/saa/asset-classes,web.routes.saa_section,saa_create_asset_class,web/routes/saa_section.py,755,,session,1
back_office,DELETE,/api/saa/asset-classes/{asset_class_id},web.routes.saa_section,saa_delete_asset_class,web/routes/saa_section.py,875,,session,1
back_office,PUT,/api/saa/asset-classes/{asset_class_id},web.routes.saa_section,saa_update_asset_class,web/routes/saa_section.py,819,,session,1
back_office,POST,/api/saa/configuration,web.routes.saa_section,saa_create_configuration,web/routes/saa_section.py,339,,session,1
back_office,DELETE,/api/saa/configuration/{config_id},web.routes.saa_section,saa_delete,web/routes/saa_section.py,555,,session,1
back_office,GET,/api/saa/configuration/{config_id},web.routes.saa_section,saa_configuration_partial,web/routes/saa_section.py,299,_partials/saa_configuration_partial.html,session,1
back_office,PUT,/api/saa/configuration/{config_id},web.routes.saa_section,saa_save,web/routes/saa_section.py,386,,session,1
back_office,POST,/api/saa/configuration/{config_id}/activate,web.routes.saa_section,saa_activate,web/routes/saa_section.py,506,,session,1
back_office,GET,/api/saa/configuration/{config_id}/optimization,web.routes.saa_section,saa_optimization_view,web/routes/saa_section.py,596,_partials/saa_optimization_error.html;_partials/saa_optimization_partial.html,session,0
back_office,GET,/api/saa/section,web.routes.saa_section,saa_section,web/routes/saa_section.py,238,_partials/saa_section.html,session,1
back_office,GET,/back-office,web.routes.areas,back_office_view,web/routes/areas.py,361,areas/back_office.html;_partials/area_fragment.html,session,1
cases,GET,/api/cases/archive,web.routes.cases,get_archive,web/routes/cases.py,457,_partials/cases_archive.html;_partials/cases_archive_results.html,session,0
cases,GET,/api/cases/new,web.routes.cases,get_new_case_form,web/routes/cases.py,519,_partials/cases_new_form.html,session,0
cases,POST,/api/cases/new,web.routes.cases,create_case,web/routes/cases.py,535,_partials/cases_new_form.html;_partials/cases_new_result.html,session,0
cases,GET,/api/cases/open,web.routes.cases,get_open_cases,web/routes/cases.py,388,_partials/cases_open.html,session,0
cases,GET,/api/cases/recently-closed,web.routes.cases,get_recently_closed,web/routes/cases.py,424,_partials/cases_recently_closed.html,session,0
cases,GET,/api/cases/{case_id}/attachments/{attachment_id},web.routes.cases,download_case_attachment,web/routes/cases.py,1370,_partials/cases_composer_close.html;_partials/cases_composer_decision.html;_partials/cases_composer_note.html;_partials/cases_composer_pin.html,session,0
cases,POST,/api/cases/{case_id}/close,web.routes.cases,post_case_close,web/routes/cases.py,1404,_partials/cases_composer_close.html;_partials/cases_composer_decision.html;_partials/cases_composer_note.html;_partials/cases_composer_pin.html,session,0
cases,GET,/api/cases/{case_id}/composer/{action},web.routes.cases,get_case_composer,web/routes/cases.py,1004,_partials/cases_composer_close.html;_partials/cases_composer_decision.html;_partials/cases_composer_note.html;_partials/cases_composer_pin.html,session,0
cases,POST,/api/cases/{case_id}/decision,web.routes.cases,post_case_decision,web/routes/cases.py,1108,_partials/cases_detail_timeline.html,session,0
cases,POST,/api/cases/{case_id}/note,web.routes.cases,post_case_note,web/routes/cases.py,1046,_partials/cases_detail_timeline.html,session,0
cases,POST,/api/cases/{case_id}/pin-document,web.routes.cases,post_case_pin_document,web/routes/cases.py,1175,_partials/cases_pin_result.html,session,0
